filename,cluster
KB_JB838_1950-01-06_01-00002.txt,2
KB_JB838_1950-01-07_01-00013.txt,4
KB_JB838_1950-01-08_01-00011.txt,5
KB_JB838_1950-01-10_01-00006.txt,0
KB_JB838_1950-01-15_01-00010.txt,3
KB_JB838_1950-01-22_01-00014.txt,1
KB_JB838_1950-02-13_01-00005.txt,0
KB_JB838_1950-02-13_01-00008.txt,0
KB_JB838_1950-02-15_01-00011.txt,1
KB_JB838_1950-02-15_01-00014.txt,4
KB_JB838_1950-02-16_01-00014.txt,4
KB_JB838_1950-02-17_01-00009.txt,3
KB_JB838_1950-02-18_01-00009.txt,2
KB_JB838_1950-02-18_01-00014.txt,4
KB_JB838_1950-02-25_01-00006.txt,0
KB_JB838_1950-02-25_01-00013.txt,4
KB_JB838_1950-02-28_01-00012.txt,4
KB_JB838_1950-03-01_01-00005.txt,2
KB_JB838_1950-03-03_01-00013.txt,4
KB_JB838_1950-03-05_01-00020.txt,2
KB_JB838_1950-03-11_01-00005.txt,2
KB_JB838_1950-03-15_01-00012.txt,4
KB_JB838_1950-03-19_01-00001.txt,2
KB_JB838_1950-03-25_01-00009.txt,3
KB_JB838_1950-03-27_01-00002.txt,2
KB_JB838_1950-03-29_01-00002.txt,2
KB_JB838_1950-03-29_01-00008.txt,5
KB_JB838_1950-03-31_01-00006.txt,2
KB_JB838_1950-04-19_01-00002.txt,2
KB_JB838_1950-04-21_01-00010.txt,5
KB_JB838_1950-04-25_01-00011.txt,4
KB_JB838_1950-04-26_01-00007.txt,2
KB_JB838_1950-05-03_01-00006.txt,0
KB_JB838_1950-05-07_01-00002.txt,2
KB_JB838_1950-05-16_01-00003.txt,2
KB_JB838_1950-05-20_01-00016.txt,5
KB_JB838_1950-05-24_01-00014.txt,4
KB_JB838_1950-05-29_01-00002.txt,2
KB_JB838_1950-06-04_01-00011.txt,3
KB_JB838_1950-06-04_01-00012.txt,5
KB_JB838_1950-06-04_01-00016.txt,1
KB_JB838_1950-06-10_01-00010.txt,3
KB_JB838_1950-06-11_01-00001.txt,2
KB_JB838_1950-06-11_01-00015.txt,1
KB_JB838_1950-06-14_01-00014.txt,4
KB_JB838_1950-06-17_01-00006.txt,0
KB_JB838_1950-06-22_01-00004.txt,2
KB_JB838_1950-06-24_01-00011.txt,5
KB_JB838_1950-06-25_01-00013.txt,5
KB_JB838_1950-06-29_01-00002.txt,2
KB_JB838_1950-07-02_01-00002.txt,2
KB_JB838_1950-07-02_01-00018.txt,4
KB_JB838_1950-07-05_01-00005.txt,2
KB_JB838_1950-07-08_01-00009.txt,5
